order_id,supplier_name,product_id,product_name,quantity,unit_cost,order_date,expected_delivery,actual_delivery,transport_mode,weight_kg_total
PO-000500,AsiaSource,PRD-00027,Cotton Buds 200-Pack,108,11.17,2024-01-06,2024-02-02,2024-02-03,SEA,31.86
PO-000501,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,120,11.27,2024-02-09,2024-03-05,2024-03-07,SEA,35.4
PO-000502,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,132,11.3,2024-03-12,2024-04-02,2024-04-02,SEA,38.94
PO-000503,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,144,11.14,2024-04-11,2024-05-02,2024-05-01,SEA,42.48
PO-000504,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,144,11.13,2024-05-12,2024-06-02,2024-06-03,SEA,42.48
PO-000505,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,156,11.18,2024-06-06,2024-07-02,2024-07-01,SEA,46.02
PO-000506,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,156,112.8,2024-07-05,2024-08-08,2024-08-09,SEA,46.02
PO-000507,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,156,11.09,2024-07-30,2024-08-23,2024-08-26,SEA,46.02
PO-000508,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,156,11.28,2024-08-29,2024-09-20,2024-09-23,SEA,46.02
PO-000509,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,144,10.95,2024-09-28,2024-10-24,2024-10-23,SEA,42.48
PO-000510,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,156,11.53,2024-10-30,2024-11-26,2024-11-29,SEA,46.02
PO-000511,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,192,11.67,2024-11-25,2024-12-15,2024-12-18,SEA,56.64
PO-000512,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,216,11.38,2024-12-20,2025-02-02,2025-02-01,SEA,63.72
PO-000513,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,108,11.21,2025-01-20,2025-03-02,2025-03-01,SEA,31.86
PO-000514,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,120,11.41,2025-02-17,2025-03-12,2025-03-15,SEA,35.4
PO-000515,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,132,10.83,2025-03-15,2025-04-03,2025-04-06,SEA,38.94
PO-000516,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,144,11.24,2025-04-10,2025-05-07,2025-05-06,SEA,42.48
PO-000517,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,144,11.31,2025-05-05,2025-06-14,2025-06-15,SEA,42.48
PO-000518,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,156,10.64,2025-06-03,2025-06-23,2025-06-24,SEA,46.02
PO-000519,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,156,11.07,2025-06-29,2025-07-17,2025-07-18,SEA,46.02
PO-000520,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,156,11.27,2025-07-29,2025-08-17,2025-08-17,SEA,46.02
PO-000521,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,144,11.41,2025-09-02,2025-10-01,2025-09-30,SEA,42.48
PO-000522,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,156,10.94,2025-10-07,2025-10-31,2025-11-01,SEA,46.02
PO-000523,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,192,11.28,2025-11-01,2025-11-24,2025-11-27,SEA,56.64
PO-000524,AsiaSource Co,PRD-00027,Cotton Buds 200-Pack,216,11.38,2025-12-06,2025-12-28,2025-12-31,SEA,63.72
