product_id,product_name,abc_class,supplier_id,supplier_name,rop_optimised,recommended_mode,recommended_order_qty,green_decision_made,carbon_saving_vs_air_kg,cost_premium_vs_cheapest,requires_human_review,review_reason,decision_rationale
PRD-00028,Premium Ground Coffee 250g,A,SUP-005,NordicSupply AS,196,ROAD,816,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Road (HGV) (stockout risk: 4.9%).
PRD-00029,English Breakfast Tea 80-Pack,C,SUP-002,EuroFast GmbH,76,ROAD,864,False,0.0,0.0,False,,Only one feasible option for C-class service level. Selected Road (HGV) (stockout risk: 13.0%).
PRD-00030,Instant Hot Chocolate 400g,A,SUP-001,BritGoods Ltd,95,ROAD,864,False,0.0,0.0,True,No feasible transport option meets A service level.,WARNING: No transport mode meets the A-class service level target. Fastest available mode selected. Immediate review required. Consider emergency procurement or demand smoothing.
PRD-00031,Organic Honey 340g,B,SUP-005,NordicSupply AS,133,ROAD,840,False,0.0,0.0,False,,Only one feasible option for B-class service level. Selected Road (HGV) (stockout risk: 9.3%).
PRD-00032,Extra Virgin Olive Oil 500ml,C,SUP-005,NordicSupply AS,182,ROAD,1872,False,0.0,0.0,False,,Only one feasible option for C-class service level. Selected Road (HGV) (stockout risk: 14.4%).
PRD-00033,Apple Cider Vinegar 500ml,A,SUP-001,BritGoods Ltd,87,ROAD,800,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Road (HGV) (stockout risk: 4.8%).
PRD-00034,Protein Granola 500g,C,SUP-006,MedTrade SRL,132,ROAD,1128,False,0.0,0.0,False,,Only one feasible option for C-class service level. Selected Road (HGV) (stockout risk: 14.6%).
PRD-00035,Mixed Nuts 200g,A,SUP-006,MedTrade SRL,228,ROAD,744,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Road (HGV) (stockout risk: 5.0%).
PRD-00036,Herbal Tea Variety 40-Pack,B,SUP-002,EuroFast GmbH,109,ROAD,762,False,0.0,0.0,False,,Only one feasible option for B-class service level. Selected Road (HGV) (stockout risk: 9.1%).
PRD-00037,Sparkling Water 12x500ml,B,SUP-006,MedTrade SRL,166,ROAD,800,False,0.0,0.0,False,,Only one feasible option for B-class service level. Selected Road (HGV) (stockout risk: 9.7%).
PRD-00038,Luxury Bath Gift Set,A,SUP-007,USBrands Inc,127,AIR,300,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Air Freight (stockout risk: 4.6%).
PRD-00039,Premium Scented Candle Set,A,SUP-007,USBrands Inc,100,AIR,216,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Air Freight (stockout risk: 4.5%).
PRD-00040,Artisan Chocolate Selection Box,A,SUP-006,MedTrade SRL,186,ROAD,792,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Road (HGV) (stockout risk: 4.9%).
PRD-00041,Spa Pamper Set,A,SUP-004,IndiaManufact Pvt,162,SEA,336,False,375.87,0.0,False,,Sea (Container) is both the lowest cost (GBP 959) and lowest carbon (17.1 kg CO2e) option. Clear recommendation.
PRD-00042,Aromatherapy Diffuser Kit,A,SUP-006,MedTrade SRL,63,ROAD,252,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Road (HGV) (stockout risk: 4.6%).
PRD-00043,Premium Notebook and Pen Set,A,SUP-007,USBrands Inc,244,AIR,600,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Air Freight (stockout risk: 4.8%).
PRD-00044,Personalised Mug Gift Box,A,SUP-004,IndiaManufact Pvt,124,SEA,216,False,690.72,0.0,False,,Sea (Container) is both the lowest cost (GBP 1057) and lowest carbon (31.5 kg CO2e) option. Clear recommendation.
PRD-00045,Festive Reed Diffuser,A,SUP-007,USBrands Inc,117,AIR,288,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Air Freight (stockout risk: 4.5%).
PRD-00046,Professional Floor Cleaner 5L,B,SUP-008,LocalPack Ltd,41,ROAD,768,False,0.0,0.0,False,,Only one feasible option for B-class service level. Selected Road (HGV) (stockout risk: 8.5%).
PRD-00047,Industrial Degreaser 2L,C,SUP-002,EuroFast GmbH,81,ROAD,888,False,0.0,0.0,False,,Only one feasible option for C-class service level. Selected Road (HGV) (stockout risk: 12.8%).
PRD-00048,Antibacterial Surface Spray 1L,B,SUP-008,LocalPack Ltd,59,ROAD,1056,False,0.0,0.0,False,,Only one feasible option for B-class service level. Selected Road (HGV) (stockout risk: 8.5%).
PRD-00049,Laundry Detergent 2.5kg,A,SUP-008,LocalPack Ltd,57,ROAD,672,False,0.0,0.0,False,,Only one feasible option for A-class service level. Selected Road (HGV) (stockout risk: 4.6%).
PRD-00050,Fabric Softener 1.5L,A,SUP-001,BritGoods Ltd,80,ROAD,672,False,0.0,0.0,True,No feasible transport option meets A service level.,WARNING: No transport mode meets the A-class service level target. Fastest available mode selected. Immediate review required. Consider emergency procurement or demand smoothing.
